daily,index,cumsum,cs_mv14d,d_mv14d,cs_savgol,d_savgol
669,165,77940,77901.21428571429,540.9285714285797,77713.45804571039,519.0337498779845
587,166,78527,78423.5,522.2857142857101,78233.15204580713,519.6940000967443
163,167,78690,78938.57142857143,515.0714285714348,78740.49753909706,507.3454932899331
132,168,78822,79453.14285714286,514.5714285714203,79241.47837022116,500.9808311240922
707,169,79529,79948.71428571429,495.5714285714348,79758.9428882919,517.4645180707448
725,170,80254,80430.64285714286,481.9285714285652,80254.39718023516,495.454291943257
612,171,80866,80906.64285714286,476.0,80738.25482433975,483.85764410458796
581,172,81447,81373.07142857143,466.42857142857974,81210.91552288664,472.66069854689704
510,173,81957,81841.42857142857,468.3571428571304,81683.53218633753,472.6166634508845
203,174,82160,82312.07142857143,470.6428571428696,82146.03274626215,462.5005599246215
115,175,82275,82781.64285714286,469.57142857142026,82590.96263843759,444.929892175438
607,176,82882,83246.0,464.35714285714494,83047.49581554679,456.53317710920237
527,177,83409,83698.92857142857,452.9285714285652,83474.01118871947,426.515373172675
526,178,83935,84149.14285714286,450.2142857142899,83904.60610573052,430.59491701105435
535,179,84470,84606.21428571429,457.0714285714348,84338.68407470924,434.07796897871594
614,180,85084,85078.85714285714,472.64285714285506,84796.14304032318,457.4589656139433
195,181,85279,85560.0,481.14285714285506,85262.09320199904,465.95016167586436
117,182,85396,86044.0,484.0,85691.68903220959,429.5958302105428
634,183,86030,86550.21428571429,506.2142857142899,86150.73345349947,459.0444212898874
565,184,86595,87081.0,530.7857142857101,86617.17127850944,466.43782500996895
574,185,87169,87647.35714285714,566.3571428571449,87129.46319311335,512.2919146039058
677,186,87846,88257.14285714286,609.7857142857101,87679.32916990606,549.8659767927165
728,187,88574,88914.78571428571,657.6428571428551,88276.69197738597,597.3628074799053
322,188,88896,89602.57142857143,687.7857142857247,88894.91014750411,618.2181701181398
155,189,89051,90303.5,700.9285714285652,89476.50884725967,581.5986997555592
918,190,89969,91082.28571428571,778.7857142857101,90131.65761458378,655.1487673241063
871,191,90840,91937.0,854.7142857142899,90873.50265597516,741.8450413913815
1024,192,91864,92889.5,952.5,91740.27912288441,866.7764669092576
1143,193,93007,93918.64285714286,1029.142857142855,92709.96057970944,969.6814568250265
1284,194,94291,95017.85714285714,1099.2142857142899,93772.50883021759,1062.5482505081454
617,195,94908,96157.92857142857,1140.0714285714203,94907.67677247396,1135.1679422563757
301,196,95209,97319.85714285714,1161.9285714285797,96045.5538076452,1137.8770351712446
1724,197,96933,98573.5,1253.642857142855,97294.27195103474,1248.7181433895312
1628,198,98561,99913.07142857143,1339.5714285714348,98660.95475424684,1366.6828032120975
1943,199,100504,101329.21428571429,1416.142857142855,100155.29647963168,1494.3417253848456
1750,200,102254,102791.92857142857,1462.7142857142753,101725.83467340031,1570.5381937686325
1709,201,103963,104278.85714285714,1486.9285714285797,103390.79055487466,1664.9558814743505
894,202,104857,105798.71428571429,1519.857142857145,105021.96235720755,1631.1718023328867
461,203,105318,107337.0,1538.2857142857101,106441.41331287162,1419.4509556640696
2202,204,107520,108951.5,1614.5,107874.86597869334,1433.452665821722
2074,205,109594,110664.57142857143,1713.0714285714348,109360.48468414346,1485.6187054501206
2096,206,111690,112472.71428571429,1808.142857142855,111005.38869471391,1644.904010570448
1795,207,113485,114400.35714285714,1927.642857142855,112729.55668539133,1724.1679906774225
1623,208,115108,116473.92857142857,2073.5714285714203,114659.03719480171,1929.4805094103795
1078,209,116186,118607.07142857143,2133.1428571428696,116642.10470971548,1983.0675149137678
559,210,116745,120783.5,2176.428571428565,118362.20201561393,1720.0973058984528
2791,211,119536,123182.14285714286,2398.642857142855,120175.4358062453,1813.2337906313624
3008,212,122544,125843.92857142857,2661.78571428571,122355.86168790839,2180.42588166309
3274,213,125818,128849.14285714286,3005.21428571429,125012.90610005085,2657.044412142466
3423,214,129241,132203.2142857143,3354.071428571435,127983.24372129989,2970.3376212490402
3752,215,132993,136009.35714285713,3806.1428571428405,131453.87538071876,3470.6316594188684
1728,216,134721,140050.64285714287,4041.2857142857392,135195.1084446185,3741.2330638997373
1067,217,135788,144226.2142857143,4175.57142857142,138649.29792486207,3454.189480243571
5313,218,141101,148907.57142857142,4681.35714285713,142396.40591978718,3747.1079949251143
5758,219,146859,154286.7857142857,5379.21428571429,146916.2287918241,4519.8228720369225
6904,220,153763,160327.35714285713,6040.57142857142,152277.77083787278,5361.5420460486785
