Compound Name,RT,Score
Nonanal,14.22,709,Area,406066.312,tR (min),14.220
Area,467671.034,tR (min),14.480
Area,82563.962,tR (min),14.733
Compound Name,RT,Score
1,2-Benzenediol, 3,5-bis(1,1-dimethylethyl)-,14.776,628,Area,20707.756,tR (min),14.776
Area,187760.249,tR (min),15.511
Area,186213.466,tR (min),16.254
Area,296211.686,tR (min),16.264
Area,7183.439,tR (min),16.576
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,16.787,784,Area,4371659.969,tR (min),16.787
Area,48688.891,tR (min),17.050
Area,69790.284,tR (min),17.185
Area,13923.959,tR (min),17.200
Area,14436.489,tR (min),17.370
Area,230898.006,tR (min),17.569
Area,2323.454,tR (min),18.427
Compound Name,RT,Score
Butanoic acid,18.838,604,Area,626268.907,tR (min),18.838
Area,731841.380,tR (min),19.359
Area,1236497.878,tR (min),19.493
Area,642618.210,tR (min),19.855
Area,56013.497,tR (min),20.108
Area,38607.141,tR (min),20.211
Area,38708.244,tR (min),20.236
Area,55730.157,tR (min),20.247
Area,42477.729,tR (min),20.720
Area,44179.709,tR (min),20.729
Compound Name,RT,Score
Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS,20.965,611,Area,1481.369,tR (min),20.965
Area,512339.214,tR (min),21.527
Compound Name,RT,Score
Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS,21.567,604,Area,924310.169,tR (min),21.567
Area,16833.472,tR (min),21.801
Area,43687.115,tR (min),21.966
Compound Name,RT,Score
Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS,22.22,644,Area,211350.334,tR (min),22.220
Area,195773.711,tR (min),22.300
Area,186545.717,tR (min),22.422
Compound Name,RT,Score
Hexanoic acid,22.558,693,Area,1627988.668,tR (min),22.558
Area,374670.079,tR (min),22.918
Compound Name,RT,Score
Dimethyl sulfone,23.486,855,Area,806829.432,tR (min),23.486
Area,577888.326,tR (min),23.680
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,24.795,653,Area,66848.750,tR (min),24.795
