year,month,day,hour,height
2024,5,17,16,2038
2024,5,17,17,1821
2024,5,17,18,1661
2024,5,17,19,1588
2024,5,17,20,1599
2024,5,17,21,1737
2024,5,17,22,1959
2024,5,17,23,2224
2024,5,18,0,2463
2024,5,18,1,2618
2024,5,18,2,2681
2024,5,18,3,2624
2024,5,18,4,2468
2024,5,18,5,2247
2024,5,18,6,2033
2024,5,18,7,1860
2024,5,18,8,1778
2024,5,18,9,1796
2024,5,18,10,1900
2024,5,18,11,2076
2024,5,18,12,2250
2024,5,18,13,2378
2024,5,18,14,2407
2024,5,18,15,2346
2024,5,18,16,2192
2024,5,18,17,1959
2024,5,18,18,1771
2024,5,18,19,1640
2024,5,18,20,1601
2024,5,18,21,1699
2024,5,18,22,1896
2024,5,18,23,2152
2024,5,19,0,2440
2024,5,19,1,2650
2024,5,19,2,2766
2024,5,19,3,2730
2024,5,19,4,2583
2024,5,19,5,2334
2024,5,19,6,2028
2024,5,19,7,1776
2024,5,19,8,1610
2024,5,19,9,1566
2024,5,19,10,1646
2024,5,19,11,1826
2024,5,19,12,2041
2024,5,19,13,2249
2024,5,19,14,2370
2024,5,19,15,2398
2024,5,19,16,2300
2024,5,19,17,2109
2024,5,19,18,1907
2024,5,19,19,1737
2024,5,19,20,1655
2024,5,19,21,1693
2024,5,19,22,1846
2024,5,19,23,2089
2024,5,20,0,2400
2024,5,20,1,2670
2024,5,20,2,2838
2024,5,20,3,2859
2024,5,20,4,2731
2024,5,20,5,2482
2024,5,20,6,2147
2024,5,20,7,1834
2024,5,20,8,1581
2024,5,20,9,1440
2024,5,20,10,1458
2024,5,20,11,1591
2024,5,20,12,1825
2024,5,20,13,2098
2024,5,20,14,2297
2024,5,20,15,2410
2024,5,20,16,2393
2024,5,20,17,2254
2024,5,20,18,2071
2024,5,20,19,1894
2024,5,20,20,1761
2024,5,20,21,1744
2024,5,20,22,1853
2024,5,20,23,2077
2024,5,21,0,2375
2024,5,21,1,2655
2024,5,21,2,2874
2024,5,21,3,2961
2024,5,21,4,2883
2024,5,21,5,2657
2024,5,21,6,2296
2024,5,21,7,1914
2024,5,21,8,1571
2024,5,21,9,1348
2024,5,21,10,1286
2024,5,21,11,1369
2024,5,21,12,1589
2024,5,21,13,1881
2024,5,21,14,2143
2024,5,21,15,2334
2024,5,21,16,2404
2024,5,21,17,2350
2024,5,21,18,2201
2024,5,21,19,2007
2024,5,21,20,1856
2024,5,21,21,1797
2024,5,21,22,1861
2024,5,21,23,2053
2024,5,22,0,2314
2024,5,22,1,2610
2024,5,22,2,2874
2024,5,22,3,3026
2024,5,22,4,3009
2024,5,22,5,2815
2024,5,22,6,2496
2024,5,22,7,2097
2024,5,22,8,1682
2024,5,22,9,1365
2024,5,22,10,1208
2024,5,22,11,1196
2024,5,22,12,1346
2024,5,22,13,1608
2024,5,22,14,1903
2024,5,22,15,2164
2024,5,22,16,2339
2024,5,22,17,2356
2024,5,22,18,2272
2024,5,22,19,2107
2024,5,22,20,1955
2024,5,22,21,1850
2024,5,22,22,1857
2024,5,22,23,1997
2024,5,23,0,2241
2024,5,23,1,2536
2024,5,23,2,2826
2024,5,23,3,3033
2024,5,23,4,3098
2024,5,23,5,2980
2024,5,23,6,2686
2024,5,23,7,2283
2024,5,23,8,1850
2024,5,23,9,1461
2024,5,23,10,1185
2024,5,23,11,1084
2024,5,23,12,1179
2024,5,23,13,1380
2024,5,23,14,1675
2024,5,23,15,1962
2024,5,23,16,2211
2024,5,23,17,2334
2024,5,23,18,2326
2024,5,23,19,2238
2024,5,23,20,2091
2024,5,23,21,1968
2024,5,23,22,1925
2024,5,23,23,1991
2024,5,24,0,2171
2024,5,24,1,2448
2024,5,24,2,2751
2024,5,24,3,2993
2024,5,24,4,3128
2024,5,24,5,3109
2024,5,24,6,2896
2024,5,24,7,2556
2024,5,24,8,2108
2024,5,24,9,1661
2024,5,24,10,1313
2024,5,24,11,1093
2024,5,24,12,1056
2024,5,24,13,1206
2024,5,24,14,1442
2024,5,24,15,1752
2024,5,24,16,2025
2024,5,24,17,2220
2024,5,24,18,2303
2024,5,24,19,2279
2024,5,24,20,2167
2024,5,24,21,2062
2024,5,24,22,1978
2024,5,24,23,1988
2024,5,25,0,2111
2024,5,25,1,2335
2024,5,25,2,2621
2024,5,25,3,2893
2024,5,25,4,3085
2024,5,25,5,3142
2024,5,25,6,3026
2024,5,25,7,2764
2024,5,25,8,2373
2024,5,25,9,1912
2024,5,25,10,1500
2024,5,25,11,1185
2024,5,25,12,1023
2024,5,25,13,1042
2024,5,25,14,1198
2024,5,25,15,1460
2024,5,25,16,1758
2024,5,25,17,2017
2024,5,25,18,2183
2024,5,25,19,2250
2024,5,25,20,2206
2024,5,25,21,2110
2024,5,25,22,2033
2024,5,25,23,2004
2024,5,26,0,2058
2024,5,26,1,2203
2024,5,26,2,2436
2024,5,26,3,2719
2024,5,26,4,2954
2024,5,26,5,3094
2024,5,26,6,3092
2024,5,26,7,2925
2024,5,26,8,2635
2024,5,26,9,2231
2024,5,26,10,1808
2024,5,26,11,1422
2024,5,26,12,1159
2024,5,26,13,1063
2024,5,26,14,1100
2024,5,26,15,1277
2024,5,26,16,1525
2024,5,26,17,1792
2024,5,26,18,2020
2024,5,26,19,2172
2024,5,26,20,2229
2024,5,26,21,2203
2024,5,26,22,2115
2024,5,26,23,2061
2024,5,27,0,2044
2024,5,27,1,2113
2024,5,27,2,2287
2024,5,27,3,2496
2024,5,27,4,2727
2024,5,27,5,2923
2024,5,27,6,3012
2024,5,27,7,2984
2024,5,27,8,2814
2024,5,27,9,2504
2024,5,27,10,2135
2024,5,27,11,1734
2024,5,27,12,1406
2024,5,27,13,1174
2024,5,27,14,1080
2024,5,27,15,1141
2024,5,27,16,1331
2024,5,27,17,1556
2024,5,27,18,1811
2024,5,27,19,2036
2024,5,27,20,2164
2024,5,27,21,2223
2024,5,27,22,2217
2024,5,27,23,2146
2024,5,28,0,2102
2024,5,28,1,2082
2024,5,28,2,2146
2024,5,28,3,2298
2024,5,28,4,2483
2024,5,28,5,2691
2024,5,28,6,2829
2024,5,28,7,2896
2024,5,28,8,2856
2024,5,28,9,2681
2024,5,28,10,2409
