X,Y,Z,C
-452.264,-273.512,-814.041,0.00121277
-400.906,-332.777,-836.362,0.000535912
-515.445,-223.261,-820.333,0.00140681
-492.319,-240.722,-855.769,0.0384022
-453.232,-253.514,-867.22,0.00224712
-450.371,-265.056,-854.304,0.00265736
-563.96,-161.445,-871.694,0.00298587
-553.627,-168.506,-873.501,0.00287493
-574.58,-158.953,-835.549,0.00129079
-537.987,-191.958,-810.53,0.00351564
-528.835,-194.089,-829.088,0.00359958
-552.539,-161.388,-893.852,0.00322793
-548.295,-168.284,-884.529,0.00299861
-568.675,-154.021,-881.293,0.00335331
-595.633,-142.51,-827.01,0.00223386
-529.379,-196.31,-886.656,0.00117557
-539.31,-185.172,-853.435,0.00230383
-544.496,-182.788,-841.993,0.00296912
-539.501,-183.262,-865.664,0.00227631
-543.789,-175.565,-874.719,0.00254397
-649.99,-64.8308,-859.891,0.00263673
-658.184,-65.5701,-852.448,0.00345265
-717.167,-0.229159,-880.137,0.00779213
-711.563,-6.11239,-870.494,0.00792115
-690.263,-17.1337,-872.023,0.00619876
-731.074,2.60877,-830.373,0.0127866
-723.573,-3.07723,-822.806,0.0129884
-716.956,-11.2958,-826.874,0.0101565
-716.905,-6.93019,-843.7,0.00769849
-711.815,-11.9811,-843.053,0.00764442
-684.704,-46.2759,-831.875,0.0043737
-682.465,-52.1745,-845.013,0.00204444
-704.365,-23.1686,-841.312,0.00802101
-697.252,-34.0072,-845.029,0.00647255
-702.157,-29.0809,-822.628,0.00965054
-684.554,-45.4856,-843.175,0.0035662
-700.034,-36.0244,-838.102,0.0070079
-654.725,-56.176,-883.53,0.00180724
-647.956,-66.504,-883.89,0.00143497
-672.227,-50.6625,-873.99,0.00342977
-662.497,-58.128,-871.559,0.00253286
-660.508,-63.6938,-832.945,0.00455187
-664.565,-59.6866,-848.248,0.00499243
-666.912,-58.1224,-830.267,0.00320884
-674.582,-53.6281,-844.98,0.00502132
-773.808,63.0536,-877.049,0.00640959
-758.23,47.1913,-892.603,0.0054683
-753.441,13.5232,-827.838,0.0137106
-763.134,30.869,-829.375,0.0136826
-756.618,27.7935,-829.285,0.0131648
-784.788,52.535,-832.294,0.0100079
-770.175,33.819,-828.461,0.0128112
-793.666,62.959,-830.332,0.00931173
-796.702,67.9061,-835.168,0.00848959
-757.791,36.766,-846.309,0.0100806
-781.464,52.3288,-841.21,0.00957975
-778.376,56.3666,-847.48,0.00854972
-774.999,50.0199,-844.718,0.00947725
-798.112,61.8083,-817.033,0.0103901
-763.169,41.5377,-847.917,0.00834634
-768.434,45.7217,-844.499,0.00926089
-725.899,9.29107,-884.237,0.00752806
-743.057,19.228,-883.038,0.00634067
-743.007,23.9525,-848.539,0.0109375
-732.941,8.6759,-855.723,0.0102305
-742.535,9.46355,-837.044,0.0125946
-722.777,0.338344,-841.55,0.0107553
-726.793,7.97504,-845.55,0.0113108
-752.319,32.2857,-843.711,0.0111111
-830.723,106.928,-841.813,0.00522663
-820.174,104.135,-847.918,0.00600787
-850.487,120.542,-810.53,0.00261041
-831.664,95.3335,-825.774,0.00585657
-856.289,136.935,-874.719,0.0056006
-845.851,119.301,-861.303,0.0065975
-837.975,109.252,-865.245,0.00677776
-803.612,73.344,-834.286,0.00776733
-806.17,80.3934,-832.676,0.00755025
-830.075,100.63,-870.455,0.00762951
-823.176,98.2436,-880.718,0.00735624
-903.849,173.432,-840.068,0.00154385
-937.59,194.053,-832.089,0.00165132
-935.175,212.88,-852.992,0.00178061
-883.246,159.337,-865.384,0.00298224
-876.46,151.055,-871.694,0.00358263
-866.127,143.994,-873.501,0.00540186
-838.632,138.617,-894.472,0.00949804
-865.039,151.112,-893.852,0.00314057
-860.795,144.216,-884.529,0.00541479
-881.175,158.479,-881.293,0.00340415
-990.517,272.762,-863.069,0.00168571
-963.899,240.407,-844.486,0.00169574
-984.282,259.443,-840.434,0.00150881
-965.587,239.017,-829.879,0.00162718
-940.359,220.493,-836.756,0.00219811
-1023.86,300.365,-878.57,0.000693098
-992.778,269.049,-848.807,0.00160392
-398.572,-335.993,-769.462,0.000443437
-384.67,-336.251,-788.329,0.000315818
-315.795,-431.399,-794.408,0.000176476
-429.272,-327.338,-802.378,0.000530449
-415.44,-331.356,-819.177,0.000403779
-428.98,-298.601,-761.097,0.000646947
-441.769,-302.126,-754.437,0.000496683
-498.538,-232.123,-804.521,0.00137437
-508.63,-233.962,-771.106,0.00164889
-518.809,-223.86,-772.4,0.00181268
-519.829,-212.84,-800.354,0.00209575
-465.427,-261.513,-806.951,0.00145208
-501.47,-258.896,-780.967,0.00106862
-468.597,-279.762,-789.737,0.000949479
-466.07,-283.626,-775.774,0.000846669
-451.968,-288.202,-779.241,0.000845071
-612.699,-133.953,-813.13,0.00206902
-542.922,-202.871,-760.823,0.00364622
-547.012,-194.852,-775.096,0.0029315
-597.092,-161.212,-749.315,0.00262326
