"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.900784250E0,-2.258613126E-2,-1.815633550E-2,-7.187982202E-2
1.910843250E0,1.945967987E-2,-4.871812373E-2,-1.244989157E-2
1.920903250E0,-1.236729965E-2,9.214422494E-2,9.979150593E-2
1.930963250E0,4.031806855E-2,6.002605408E-2,3.634103000E-2
1.941022250E0,-9.343052102E-2,2.590594277E-2,-1.319149393E-1
1.951082250E0,1.545888701E-2,-9.535361543E-2,8.380755723E-2
1.961142250E0,-3.310547322E-2,-5.126897156E-2,7.617869496E-2
1.971202250E0,6.016017459E-2,-1.250419758E-1,1.230341882E-1
1.981261250E0,-8.122376399E-2,-8.154278442E-2,-1.592723072E-1
1.991321250E0,2.303318745E-2,-1.807301268E-2,1.040289831E-1
2.001380958E0,-2.687975999E-2,1.406666131E-1,9.368291974E-2
2.011439958E0,3.486575922E-2,1.083889595E-1,6.646003783E-2
2.021499958E0,-1.103614994E-1,2.360784084E-2,-2.225865430E-1
2.031559958E0,4.533371877E-2,1.749033764E-2,1.157070422E-1
2.041619958E0,1.814153474E-2,-4.333810061E-3,4.666838229E-2
2.051678958E0,4.903769234E-2,-7.068552822E-3,5.610929668E-2
2.061738958E0,-3.403463233E-2,-2.527649000E-2,-1.409062028E-1
2.071798958E0,1.980367888E-2,1.020285045E-1,1.297257417E-1
2.081858958E0,2.655904021E-2,9.661179006E-2,2.464776814E-2
2.091917958E0,-4.238496792E-2,7.406945810E-2,-4.721275806E-2
2.101977958E0,-2.280715602E-2,-9.555797562E-2,-8.480333805E-2
2.112037958E0,-3.172240572E-2,-1.408945084E-2,9.959971726E-2
2.122096958E0,4.357219024E-2,-1.051589575E-1,1.048534405E-1
2.132156958E0,-8.061134124E-2,-9.545901150E-2,-1.181798297E-1
2.142216958E0,2.547553288E-2,-4.825633988E-2,3.931024611E-2
2.152276958E0,-1.319775045E-2,1.313816732E-1,9.755611539E-2
2.162335958E0,3.760002689E-2,7.489259988E-2,3.889100075E-2
2.172395958E0,-8.653859066E-2,1.312787622E-2,-1.866787916E-1
2.182455958E0,3.285343995E-2,5.382800549E-3,1.036921835E-1
2.192514958E0,4.085294260E-2,-2.720139340E-2,4.859620929E-2
2.202574958E0,2.633284433E-2,-5.729584292E-2,6.449069560E-2
2.212634958E0,-2.431888053E-2,-7.783477262E-2,-1.290509731E-1
2.222694958E0,-3.383637518E-3,5.749874130E-2,1.204812938E-1
2.232753958E0,4.804761255E-2,7.084018707E-2,1.689552963E-2
2.242813958E0,-4.330203060E-2,6.741722703E-2,-1.828015029E-2
2.252873958E0,-2.552525248E-2,-6.143435597E-2,-8.417066932E-2
2.262932958E0,-1.970840581E-2,7.352873683E-5,1.137143111E-1
2.272992958E0,5.689170895E-2,-1.239377292E-1,1.084646809E-1
2.283052958E0,-8.037253730E-2,-1.061712568E-1,-8.313044965E-2
2.293112958E0,2.686081136E-2,-6.241727293E-2,5.145608246E-2
2.303171958E0,-3.139810452E-2,1.264331746E-1,8.843445897E-2
2.313231958E0,3.613354521E-2,1.102653310E-1,4.520131588E-2
2.323291958E0,-8.733750304E-2,4.398816481E-2,-2.035690588E-1
2.333351958E0,3.657025913E-2,6.443924010E-3,6.753475606E-2
2.343410958E0,2.592744956E-2,-6.513213515E-3,4.087496102E-2
2.353470958E0,4.581750277E-2,-4.236483157E-2,6.469593287E-2
2.363530958E0,-2.806544742E-2,-6.437740579E-2,-1.718093222E-1
2.373589958E0,1.190904239E-2,8.131298885E-2,1.137932485E-1
2.383649958E0,2.540107224E-2,9.044824004E-2,2.271058559E-3
2.393709958E0,-4.304462520E-2,7.266978085E-2,-3.006521344E-2
2.403769958E0,-2.818633860E-2,-7.646827832E-2,-1.224412805E-1
2.413828958E0,-7.573076170E-3,-8.059363514E-3,1.044575840E-1
2.423888958E0,5.503680769E-2,-1.325759670E-1,8.245217264E-2
2.433948958E0,-6.878035918E-2,-9.440388143E-2,-5.346518576E-2
2.444007958E0,9.585870523E-3,-7.000915155E-2,3.964353740E-2
2.454067958E0,-3.655240685E-2,1.284083641E-1,1.149205917E-1
2.464127958E0,6.204940997E-2,1.152889663E-1,3.633050501E-2
2.474187958E0,-9.216273503E-2,5.557149902E-2,-1.937474906E-1
2.484246958E0,1.863496665E-2,-3.114227057E-3,5.202092350E-2
2.494306958E0,1.372178888E-2,-6.667287648E-3,6.757977962E-2
2.504366958E0,6.942179874E-2,-5.267771199E-2,6.787506402E-2
2.514426958E0,-4.284216536E-2,-8.736573413E-2,-1.250555706E-1
2.524485958E0,2.416822337E-2,6.317156374E-2,1.394555086E-1
2.534545958E0,4.749053735E-2,7.367491722E-2,3.379281342E-2
2.544605958E0,-4.743179111E-2,6.971693695E-2,-1.334977806E-2
2.554664958E0,-3.466141731E-2,-6.906526476E-2,-9.208721459E-2
2.564724958E0,-3.016247822E-2,1.305887908E-2,1.317225659E-1
2.574784958E0,5.816174246E-2,-1.086861442E-1,1.017912537E-1
2.584844958E0,-5.719633061E-2,-7.789558366E-2,-5.807045281E-2
2.594903958E0,2.271477001E-2,-6.646237671E-2,2.083129048E-2
2.604963958E0,-4.613102317E-2,1.254341778E-1,9.268246114E-2
2.615023958E0,2.931258542E-2,8.533455759E-2,2.949686408E-2
2.625082958E0,-8.278831445E-2,4.937476605E-2,-2.050636071E-1
2.635142958E0,3.360725569E-2,1.925137281E-2,5.463170528E-2
2.645202958E0,1.664194319E-2,-1.415099278E-2,6.840072870E-2
2.655262958E0,4.904648144E-2,-4.037824005E-2,6.674889028E-2
2.665321958E0,-2.045582615E-2,-9.836273879E-2,-1.387824941E-1
2.675381958E0,1.566942332E-2,8.225629091E-2,1.358851987E-1
2.685441958E0,3.417993564E-2,6.827048197E-2,-1.719081402E-4
2.695500958E0,-6.241122471E-2,6.904406860E-2,-5.436507225E-2
2.705560958E0,-2.209251663E-2,-5.579500884E-2,-9.390452921E-2
2.715620958E0,-4.556077346E-2,3.599136651E-2,1.116069746E-1
2.725680958E0,8.618695373E-2,-9.937781543E-2,8.225687563E-2
2.735739958E0,-7.228618523E-2,-9.203488201E-2,-1.029098260E-1
2.745799958E0,2.577697512E-2,-5.497932225E-2,5.143093944E-2
2.755859958E0,-1.822392566E-2,1.093885410E-1,9.560256064E-2
2.765918958E0,3.847261420E-2,7.917553917E-2,6.403929055E-2
2.775978958E0,-7.749199787E-2,1.400086552E-2,-1.793504763E-1
2.786038958E0,2.562381461E-2,2.192954376E-2,1.017626023E-1
2.796098958E0,3.537517961E-2,-4.393802494E-2,6.628403664E-2
2.806157958E0,9.943610486E-3,-7.221092060E-2,4.905229211E-2
2.816217958E0,-1.433125148E-2,-1.216141918E-1,-9.764090002E-2
2.826277958E0,-1.913188862E-2,1.065476713E-1,1.526333785E-1
2.836336958E0,5.350191358E-2,6.324348450E-2,3.543588102E-2
2.846396958E0,-7.830867117E-2,6.829694062E-2,-8.773396254E-2
2.856456958E0,2.077950608E-2,-3.744600758E-2,-2.321227670E-2
2.866516958E0,-3.112226212E-2,2.375197470E-2,1.116777259E-1
2.876575958E0,6.111732725E-2,-8.584794313E-2,8.733518243E-2
2.886635958E0,-8.463956119E-2,-1.103727736E-1,-1.298432708E-1
2.896695958E0,1.040950567E-2,-1.726595074E-2,9.080375075E-2
2.906754958E0,-1.446283210E-2,7.213987693E-2,7.015606284E-2
2.916814958E0,7.534173913E-3,7.778843343E-2,2.720417082E-2
2.926874958E0,-7.243591050E-2,-2.112292036E-2,-1.889562821E-1
2.936934958E0,-9.918248188E-3,4.711525574E-2,1.120858616E-1
2.946993958E0,7.432419570E-2,-2.798711300E-2,6.973974109E-2
2.957053958E0,-1.828027820E-2,-3.771702603E-2,3.453365564E-3
2.967113958E0,7.991078999E-3,-8.680586323E-2,-6.283476412E-2
2.977172958E0,-1.834251450E-2,1.254391479E-1,1.280201089E-1
2.987232958E0,6.788493119E-2,5.839190349E-2,9.171942472E-3
2.997292958E0,-7.564754851E-2,5.297635853E-2,-1.756907040E-1
3.007353125E0,4.012898421E-2,-2.784663364E-2,9.471904635E-3
3.017412125E0,-2.508961665E-2,8.548921645E-3,9.792741358E-2
3.027472125E0,6.604651177E-2,-8.121767923E-2,8.684752464E-2
3.037532125E0,-5.526263813E-2,-1.093331386E-1,-1.119414353E-1
3.047591125E0,2.070844414E-2,2.742665738E-2,1.127506900E-1
3.057651125E0,1.901225824E-2,8.627464369E-2,5.004690349E-2
3.067711125E0,-2.838591138E-2,1.006406678E-1,-8.478462696E-3
3.077771125E0,-2.159979735E-2,-2.620575875E-2,-1.644710666E-1
3.087830125E0,-1.271316245E-2,5.971381277E-2,1.031478077E-1
3.097890125E0,6.485441068E-2,-7.199574307E-2,5.252963126E-2
3.107950125E0,-5.715892671E-2,-7.890188947E-2,-6.467078984E-2
3.118009125E0,3.170173947E-2,-9.149240658E-2,7.356966734E-3
3.128069125E0,-1.956286496E-2,1.068441251E-1,1.182751393E-1
3.138129125E0,5.971384931E-2,6.465017840E-2,3.909448385E-2
3.148189125E0,-1.007965692E-1,9.943774939E-3,-1.930446553E-1
3.158248125E0,3.567779129E-2,-1.999689281E-2,6.440064847E-2
3.168308125E0,1.586886819E-2,-3.217006490E-2,7.263469756E-2
3.178368125E0,1.338005567E-2,-9.335693747E-2,7.382928371E-2
3.188427125E0,-3.659763141E-2,-1.481161121E-1,-1.358887070E-1
3.198487125E0,-1.306205850E-2,6.159983218E-2,1.187581193E-1
3.208547125E0,4.881239181E-2,5.349091351E-2,3.046457827E-2
3.218607125E0,-8.237546448E-2,8.475173637E-2,-6.488538265E-2
3.228666125E0,-2.542424183E-3,-3.012149289E-2,-6.725525916E-2
3.238726125E0,-1.074104279E-2,7.141175240E-2,1.219588852E-1
3.248786125E0,8.268721243E-2,-6.337636247E-2,7.858482420E-2
3.258845125E0,-5.574099518E-2,-7.091166928E-2,-1.019093674E-1
3.268905125E0,3.475553920E-2,-1.399618775E-2,7.337612450E-2
3.278965125E0,-1.300276408E-2,1.107522579E-1,7.218504667E-2
3.289025125E0,3.816892443E-2,8.363754943E-2,4.232799411E-3
3.299084125E0,-8.412003608E-2,-1.179500341E-2,-2.183461422E-1
3.309144125E0,2.680053022E-3,2.965853959E-2,9.433429956E-2
3.319204125E0,4.124132562E-2,-7.807187721E-2,5.811956942E-2
3.329263125E0,-8.415532038E-3,-7.409942508E-2,2.081725717E-2
3.339323125E0,-1.366218382E-2,-1.347869454E-1,-6.286750853E-2
3.349383125E0,-3.571338622E-2,9.652437419E-2,1.407009655E-1
3.359443125E0,5.605561193E-2,4.770904049E-2,3.262804806E-2
3.369502125E0,-1.013109232E-1,4.329512358E-2,-1.368149060E-1
3.379562125E0,2.665981332E-2,4.272852838E-4,-1.196925044E-2
3.389622125E0,2.593404595E-3,3.487045527E-2,8.998046279E-2
3.399681125E0,6.136877580E-2,-5.893277094E-2,7.486190200E-2
3.409741125E0,-3.974783711E-2,-1.143962426E-1,-1.284235668E-1
3.419801125E0,2.914526369E-2,2.963105768E-2,1.227353954E-1
3.429861125E0,2.938189320E-2,5.245186329E-2,6.406969607E-2
3.439920125E0,-2.778576778E-2,6.813175678E-2,-1.465838492E-2
3.449980125E0,-4.268619088E-2,-4.282120675E-2,-1.200597095E-1
3.460040125E0,-3.350063536E-2,5.523923099E-2,1.257227379E-1
3.470099125E0,7.144012967E-2,-9.028422564E-2,8.531321526E-2
3.480159125E0,-5.641691504E-2,-9.937576890E-2,-5.764419079E-2
3.490219125E0,3.794978175E-2,-9.042733625E-2,3.639073133E-2
3.500278125E0,-3.811185926E-2,8.084024146E-2,1.205304104E-1
3.510338125E0,3.788261186E-2,5.721252009E-2,2.956176817E-2
3.520398125E0,-9.437407890E-2,4.204294235E-3,-1.903327167E-1
3.530458125E0,-3.837436270E-3,3.782739222E-2,6.279324889E-2
3.540517125E0,3.072282420E-2,-8.149556816E-3,6.206527054E-2
3.550577125E0,6.828524619E-3,-5.096126184E-2,3.333029866E-2
3.560637125E0,-7.422528639E-3,-9.932343632E-2,-1.021350700E-1
3.570696125E0,-3.844233658E-3,1.124799639E-1,1.390146285E-1
3.580756125E0,5.277698675E-2,4.392428398E-2,1.193358243E-2
3.590816125E0,-7.105006557E-2,6.442491442E-2,-1.367295367E-1
3.600876125E0,2.899661651E-2,-3.546073169E-2,-4.588719428E-2
3.610935125E0,-4.293363774E-2,2.975224122E-2,9.945996881E-2
3.620995125E0,6.201778019E-2,-8.642520949E-2,8.148504317E-2
3.631055125E0,-8.047014926E-2,-1.092476231E-1,-1.330066144E-1
3.641114125E0,1.074204778E-2,-2.942172736E-2,1.280499297E-1
3.651174125E0,6.223191619E-3,8.034980625E-2,5.860547304E-2
3.661234125E0,-4.553574007E-3,9.133701682E-2,2.609436929E-2
3.671294125E0,-6.391684620E-2,-3.108365223E-2,-1.613240951E-1
3.681353125E0,2.391109206E-3,5.132232741E-2,1.143890798E-1
3.691413125E0,6.606303016E-2,-7.197396219E-2,6.530404329E-2
3.701473125E0,-4.138286479E-2,-7.454191312E-2,-2.627621770E-2
3.711532125E0,1.844844047E-2,-9.892304823E-2,-1.474784732E-2
3.721592125E0,-3.619731640E-2,1.121212372E-1,1.288030511E-1
3.731652125E0,6.586700225E-2,6.869615927E-2,3.241228580E-2
3.741712125E0,-9.873151537E-2,4.084674820E-2,-1.584472650E-1
3.751771125E0,2.207159456E-2,-7.434003800E-3,5.020594776E-2
3.761831125E0,-1.343514740E-2,7.983934432E-3,8.165227354E-2
3.771891125E0,5.867295356E-2,-7.397809535E-2,1.006609869E-1
3.781950125E0,-5.482195906E-2,-1.312463102E-1,-1.340801632E-1
3.792010125E0,1.839007795E-2,3.702223063E-2,1.320459169E-1
