debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2017-07-03;2017-07-08;;;Canada;Montréal;UQAM;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-06-15;2017-06-17;;;France;Paris;Sciences Po Paris;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-21;2017-06-21;;;France;Paris;;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-07-16;2017-07-18;;;France;Limoges;Université de Limoges - Faculté des Lettres et des Sciences humaines;NULL;L&L;Département de Langues et Lettres;LTC
2017-07-10;2017-07-12;;;France;Montpellier;Association Française de Science Politique;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-05-24;2017-05-27;;;italie;rome;Luiss-G. Carli;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-26;2017-06-28;;;France;Montpellier;Université de Montpellier;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-07-19;2017-06-30;;;Grèce;Palekastro;Mission archéologique d'Itanos;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-29;2017-07-06;;;France et Grèce (Crête);Paris, divers Crête;na;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-30;2018-07-01;;;France;Paris;Université de Paris-Sorbonne;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-30;2017-07-01;;;France;Paris;Université de Paris-Sorbonne;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-03;2017-05-07;;;France;Paris;Institut d'études avancées de Paris;NULL;L&L;Département de Langues et Lettres;LTC
2017-06-25;2017-07-30;;;Grèce;Palaikastro;ULB;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-08-18;2017-09-11;;;Italie;Alba Fucens;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-16;2017-06-19;;;France;Paris;;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-08-02;2017-08-07;;;Autriche;Vienne;;NULL;L&L;Département de Langues et Lettres;LTC
2017-06-17;2017-06-21;;;Chine;Zhuhai (Hong Kong);United International College;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2017-06-07;2017-06-11;;;Switzerland;Lausanne;University of Lausanne;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-22;2017-06-22;;;France;Paris;EABH;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2017-07-02;2017-07-07;;;Angleterre;Durham;Durham University;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-13;2017-06-14;;;Danemark;Copenhague;Copenhagen Business School;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-15;2017-06-16;;;Pays Bas;Amsterdam;ACCESS Europe VU/UvA;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-07-02;2017-07-16;;;Royaume Uni;Oxford;Merton CollegeOX1 4JD OxfordUniversity of Oxford;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-07-18;2017-08-21;;;Grèce;Palaikastro Sitias, Crète;Ecole archéologique belge d'Athènes;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-23;2017-06-05;;;Pays-Bas;Amsterdam;International Institute for Research and Education (IIRE);NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-07-05;2017-07-09;;;Finlande;Tampere;University of Tampere;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-07-02;2017-07-16;;;Grande Bretagne;Oxford;University of OxfordMerton College;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-07-18;2017-08-04;;;Grèce;Palaikastro (Itanos);Ecole belge d'Athènes - XXIV Ephorie des antiquités préhistoriques et classiques;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-07-18;2017-08-04;;;Grèce;Palaikastro, Sitias, Crète;Ecole belge d'archéologie d'Athènes;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-26;2017-06-26;;;France;Paris;;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-07-12;2017-07-15;;;Ecosse (GB);Glasgow;University of Glasgow;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
