debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2010-05-28;2010-06-01;;;Grande Bretagne;Londres/Oxford;Oxford University — All Souls College;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-06-22;2010-07-08;;;Royaume-Uni;Londres;Archives du Royal Opera House Covent GardenArchives Nationales de KewLaban Center for Mouvement;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-06-22;2010-07-08;;;Royaume-Uni;Londres;Archives du Royal Opera House Covent GardenArchives Nationales de KewLaban Center for Mouvement;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-12;2010-07-17;;;Royaume-Uni;Londres;Archives du Royal Opera House Covent GardenArchives Nationales de KewLaban Center for Mouvement;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-05-31;2010-06-01;;;France;Paris;EHESS Séminaire Histoire culturelle de la danseMinistère des affaires étrangères;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-09-08;2010-09-11;;;Italie;Vérone;Università degli Studi di Verona.;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-06-23;2010-07-08;;;GrÃ¨ce;Kastro, Siphnos (Cyclades);MusÃ©e de Kastro, Ephorie des Cyclades;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-07-10;2010-07-28;;;GrÃ¨ce;Palaikastro, Sitias (CrÃ¨te);Ecole franÃ§aise d'AthÃ¨nes (EfA) & XXIVe Ephorie des AntiquitÃ©s Classiques (GrÃ¨ce);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-01;2010-08-22;;;Royaume Uni;Oxford;UniversitÃ© d'Oxford, The Beazley Archive, Ioannou Centre of Classical Studies;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-06-24;2010-06-24;;;France;Lille;Université de Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-02;2010-07-09;;;Afrique du Sud;Grahamstown;Rhodes University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-11;2010-08-07;;;France;Glux-en-Glenne;Centre archéologique européen BIBRACTEF-58370 Glux-en-Glenne;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-09;2010-09-12;;;danemark;copenhague;Université de Copenhague;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-28;2010-08-16;;;Japon;Tokyo;Keio University;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-06-28;2010-06-28;;;Royaume Uni;Londres;;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-09;2010-07-28;;;Grèce;Palaikastro (Crète);XXIVe Ephorie des antiquités préhistoriques et classiques de Crète orientale;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-08-01;2010-08-22;;;Grande-Bretagne;Oxford;Université d'Oxford - Merton College;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-08-27;2010-08-01;;;Syrie;Apamée/Damas;Direction générale des Antiquités et Musées de Syrie;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-08-23;2010-08-26;;;Italie;Turin;Universite de Turin / ESSE;NULL;L&L;Département de Langues et Lettres;LTC
2010-07-08;2010-07-08;;;France;Lille;Université de Lille 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-07-24;2010-08-14;;;Espagne;Puente Viesgo - Santander;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-06;2010-10-10;;;France;Aix-en-Provence;Université de Provence Aix-Marseille I;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-06-30;2010-07-02;;;Espagne;Santander;Université de Santander;NULL;L&L;Département de Langues et Lettres;LTC
2010-06-30;2010-07-01;;;Allemagne;Düsseldorf;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-06-25;2010-06-27;;;Turquie;Istanbul;Université Kadir Has;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-30;2010-11-14;;;Chine;Shanghai;Conférence générale de l'ICOMUniversité Fudan;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-07-05;2010-07-10;;;Royaume Uni;Londres;Université de Londres;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-07-25;2010-08-20;;;Argentine;Buenos Aires, Salta;Universidad de Buenos AiresUniversidad de Salta;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-13;2010-09-20;;;Espagne;Santander;Universidad de Santander;NULL;L&L;Département de Langues et Lettres;LTC
2010-07-12;2010-07-16;;;France;Tours;Université François Rabelais/Centre National de la Recherche Scientifique;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-07-19;2010-07-24;;;Tunisie;Monastir;CREFOC;NULL;L&L;Département de Langues et Lettres;LTC
2010-07-18;2009-07-29;;;Canada;Montréal;Bibliothèque université de Montréal;NULL;L&L;Département de Langues et Lettres;LTC
2010-07-18;2009-07-29;;;Canada;Montréal;Bibliothèque université de Montréal;NULL;L&L;Département de Langues et Lettres;LTC
2010-07-18;2010-07-22;;;Portugal;Braga;Université de Minho;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-12;2010-10-15;;;Allemagne;Hambourg;ECREA;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2009-08-25;2009-09-05;;;Mexique;Mexico City;Universitad Nacional Autonoma de Mexico (UNAM);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-15;2010-08-27;;;Slovénie;Ljubljana;Université de Ljubljana / ECREA (European Communication Research and Education Association);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-12;2010-10-15;;;Allemagne;Hambourg;ECREA (European Communication Research and Education Association) / University of Hamburg;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-09-07;2010-09-13;;;grande-bretagne;londres;Archives nationalesBritish LibraryVictoria & Albert Museum Archives (Blythe House);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-08-11;2010-08-19;;;République Centrafricaine;Bangui;Ambassade de France / Institut Panos Paris (bureau de RCA) / Délégation de l'Union européenne à Bangui;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-08-11;2010-08-23;;;COREE DU SUD;SEOUL;CHUNG-ANG UNIVERSITY;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-19;2010-09-25;;;Lettonie;Riga;Musée national des Beaux-Arts;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-22;2010-11-24;;;Lettonie;Riga;Musée national des Beaux-Arts;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-12-04;2010-12-09;;;Estonie;Tallinn;Tallinn Kunsthall;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-01-21;2011-01-25;;;Estonie;Tallinn;Tallinn Kunsthall;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-02;2010-09-08;;;Italie;Montalcino;Centro du studi per la storia delle campagne e del lavoro contadino:;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-13;2010-09-14;;;Italie;Alba Fucens (Avezzano);;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-27;2010-09-07;;;Australie;Melbourne;Aussiecon4-palais des congrès de Melbourne;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-09-14;2010-09-18;;;France;Paris;Institut International de Philosophie;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-08-13;2010-08-22;;;Corée du Sud;Séoul;19th Congress of ICLA (International Comparative Literature Association)/Chung Ang University;NULL;L&L;Département de Langues et Lettres;LTC
2010-08-31;2010-09-05;;;Grande-Bretagne;Bath;"University of Bath/""Environmental Change - Cultural Change"": Joint Biennial Conference of the European Association for the Study of Culture, Literatur";NULL;L&L;Département de Langues et Lettres;LTC
2009-09-22;2009-09-25;;;France;Glux-en-Glenne;Bibracte - Centre archéologique européen;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-15;2010-08-22;;;Slovénie;Ljubljana;Université de Ljubljana, Faculté de sciences sociales;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-08-19;2010-08-21;;;france;paris;bnf;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-19;2010-09-25;;;Lettonie;Riga;Musée national des Beaux-Arts;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-18;2010-08-21;;;Pologne;Cracovie;Uniwersytet Jagiellonski;NULL;L&L;Département de Langues et Lettres;LTC
2010-08-18;2010-08-24;;;République tchèque;Prague;Ministère de l'éducation nationaleL'institut des services à l'étranger;NULL;L&L;Département de Langues et Lettres;LTC
2010-08-18;2010-08-24;;;République tchèque;Prague;Ministère de l'éducation nationaleL'institut des services à l'étranger;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-05;2010-10-08;;;Finlande;Rauma;Lönnström Art Museum;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-22;2010-09-01;;;Espagne;Puente Viesgo - Santander;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-15;2010-09-26;;;Espagne;Puente Viesgo - Santander;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-05;2010-09-12;;;France;Tarascon-sur-Ariège (Hautes-Pyrénées);;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-06;2010-10-10;;;Russie;Saint-Pétersbourg;Université de Saint-Pétersbourg;NULL;L&L;Département de Langues et Lettres;LTC
2010-08-24;2010-08-27;;;Pays-Bas;Leiden;Rijksmuseum van oudheden, LeidenZeeuws Museum, MiddelburgMaritiem Museum, ZierikzeeMuseum van Bevelanden, Goes;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-08-29;2009-09-01;;;Syrie;Damas - Apamée;Direction Générale des Antiquités et des Musées;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-07;2010-09-11;;;France;Montpellier;Université Paul Valéry, Praxiling;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-27;2010-10-30;;;Espagne;Barcelone;Université de Barcelone;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-02;2010-09-04;;;France;Lille;Université de Lille 3;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-02;2010-09-03;;;France;Lille;Université Lille 3;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-03;2010-09-04;;;Belgique;Bruxelles;Universiteit Gent;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2009-01-01;2009-01-01;;;;;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2009-01-01;2009-01-01;;;vvvvvvvvvvvv;vvvvvvvvvvvvvv;;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-09-08;2010-09-10;;;France;Paris;INRA Paris/Jouy en Josas;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-09-15;2010-09-19;;;Norvège;Oslo;University of Oslo, European Asoociation of Centres of Medical Ethics (EACME);NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-09-25;2010-10-02;;;Canada;Montréal;CIREQ (Université de Montréal);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-06;2010-09-08;;;France;Bordeaux;Centre d'Etudes de l'Afrique Noire (CEAN)Sciences Po Bordeaux;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-09-15;2010-09-15;;;France;Paris;Consultation d'une collection privée;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-12;2010-10-16;;;Allemagne;Hambourg;University of Hamburg;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-09-16;2010-09-18;;;Tunisie;Tunis;Institut de Recherche sur le Maghreb Contemporain;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-14;2010-09-17;;;France;Caen;IMEC (Institut Mémoire de l'Edition Contemporaine);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2009-09-13;2009-09-16;;;Pays-Bas;Leyde;Universiteit Leiden;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-13;2010-09-16;;;Pays-Bas;Leyde;Universiteit Leiden;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-19;2010-09-27;;;République du Bénin;Cotonou;Université d'Abomey-Calavi;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-03;2010-10-06;;;France;Lyon;Université Jean Moulin Lyon III;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-14;2010-10-17;;;GD Luxembourg;Luxembourg;Université du Luxembourg;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-09-24;2010-09-24;;;France;Lille;Université de Lille 3;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-07;2010-10-07;;;France;Lille;Palais des Beaux Arts de Lille;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-06;2010-10-10;;;Chine;Pékin;Communication University of ChinaInstitute for Cultural Industries;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-10-10;2010-10-17;;;Allemagne;Hambourg et Dresden;Université d'Hambourg et Hans Bredow Institute;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-09-24;2010-09-26;;;France;Bordeaux et Uzeste;Ensemble vocal et Festival des Chantres de St Hilaire;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-21;2010-10-23;;;France;Tours;Université de Tours;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-01-05;2011-01-10;;;USA;Denver;Allied Social Science Associations;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2009-09-28;2009-09-28;;;Belgique;Namur;Facultés Universitaires Notre-Dame de la Paix;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-12;2010-10-16;;;Allemagne;Hamburg;University of Hamburg;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-09-30;2010-10-01;;;Allemagne;Essen;Duisburg-Essen;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-22;2010-10-23;;;Roumanie;Bucarest;Université de BucarestCentre d'études médiévales;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-26;2010-10-26;;;FRANCE;Lille;Université Charles de Gaulle, Lille 3;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-18;2010-11-19;;; ;Bruxelles;Université Libre de BruxellesInstitut Royal du Patrimoine ArtistiqueMusées Royaux d'Art et d'Histoire;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-18;2010-10-25;;;Finlande;Tampere;Université de Tampere;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-14;2010-10-17;;;Italie;Pavie;Université de Pavie;NULL;L&L;Département de Langues et Lettres;LTC
2010-09-30;2010-10-01;;;Allemagne;Essen;Université d'Essen;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-11;2010-10-17;;;Etats-Unis;Los Angeles;University of California in Los ngeles;NULL;L&L;Département de Langues et Lettres;LTC
2011-03-06;2011-03-13;;;Espagne;Valencia;Université de Valencia;NULL;L&L;Département de Langues et Lettres;LTC
2010-11-23;2010-11-26;;;France;Lyon;Université de LYON 2;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-06;2010-12-06;;;France;Lille;Université Lille III - Charles de Gaulle.;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-10-06;2010-10-08;;;France;Strasbourg;Université de Strasbourg;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-07;2010-10-08;;;Paris;France;Paris III (Sorbonne Nouvelle, Littérature comparée);NULL;L&L;Département de Langues et Lettres;LTC
2010-10-08;2010-10-10;;;France;Issoire;Université de Clermont-Ferrand (en déplacement);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-14;2010-10-17;;;Grand-Duché de Luxembourg;Luxembourg / Arlon;Université de Luxembourg;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-24;2010-10-28;;;France;Tours;Centre dÉtudes Supérieures de la Renaissance (UNiversité de Tours-CNRS);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-01;2010-11-09;;;france;paris;EHESS, seminaire d'histoire culturelle de la danse, Ministere des Affaires etrangers (archives), La Courneuve, Opera de Paris (archives), Centre Natio;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-11;2010-10-18;;;Canada;Calgary (Alberta);Mount Royal University;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-19;2010-10-24;;;Suède;Gothenburg;Université de Gothenburg et Chalmers University of Gothenburg, organisateurs pour l'Association of Internet Researchers (AoIR);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-19;2010-10-25;;;Espagne;Santiago de Compostela;Universidade de Santiago de Compostela;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-01-19;2010-01-25;;;Espagne;Santiago de Compostela;Universidade de Santiago de Compostela;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-10-19;2010-10-24;;;Espagne;Santiago de Compostela;Universidade  de Santiago de Compostela;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-10-26;2010-11-02;;;Corée du Sud;Séoul;Dongguk University.Symposium Theatre, Body, Intermediality;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-21;2010-10-23;;;Espagne;Reus;CAER Centre d'études d'arts scéniques de Reus;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-01;2010-11-07;;;Burkina Faso;Ouagadougou;IPERMIC (Institut panafricain d'étude et de recherche  sur les médias, l'information et la communication), Université de ouagadougou;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-12-05;2010-12-09;;;France;Nancy;Palais des Congrès de Nancy;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-29;2010-10-31;;;France;Toulouse;Université de Toulouse II le Mirail;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-25;2010-01-08;;;POLOGNE;Poznan et Varsovie;Université Adam MickiewiczUniversité de Varsovie;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-22;2010-11-03;;;ETATS-UNIS;SALT LAKE CITY ET NEWARK;--SALT LAKE CITY: BRIGHAM YOUNG UNIVERSITY--NEWARK: KEANE UNIVERSITY;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-21;2010-10-22;;;Hollande;Nijmegen;Radbouds Universiteit;NULL;L&L;Département de Langues et Lettres;LTC
2010-11-02;2010-11-04;;;France;Paris;BNF (recherches);NULL;L&L;Département de Langues et Lettres;LTC
2010-11-24;2010-11-26;;;France;Lyon;RIRRA (Maison des sciences de l'homme);NULL;L&L;Département de Langues et Lettres;LTC
2010-11-18;2010-11-19;;;France;Lyon;Université de Lyon 2 / CIHAM-UMR5648;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-27;2010-10-29;;;france;nancy;université de nancy 2;NULL;L&L;Département de Langues et Lettres;LTC
2010-11-19;2010-11-20;;;France;Strasbourg;Université de Strasbourg;NULL;L&L;Département de Langues et Lettres;LTC
2010-11-23;2010-11-27;;;Espagne;Madrid;Université Autonome de Madrid;NULL;L&L;Département de Langues et Lettres;LTC
2010-10-27;2010-11-02;;;Espagne;Barcelone;Institut Milà y Fontanals-CSIC;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-25;2010-11-26;;;France;Paris;Martine JOLY (université Paris-Sorbonne) et Jean-Marc SEGUIER (INRAP)- INHA Galerie ColbertAccès : 6 rue des Petits Champs ou 2, rue Vivienne75002;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-12-06;2010-12-06;;;France;Lille;Université Lille III;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-01-02;2011-01-09;;;Egypte;Le Caire et Louqsor;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-14;2010-12-04;;;Côte d'Ivoire;Abidjan;Université de Bouaké à Abidjan;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-10-02;2010-10-03;;;France;Bruxelles;Paris I;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-11-19;2010-11-22;;;France;Paris;TG Bibliothèque;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-11-15;2010-11-17;;;Pologne;Katowice;Université de Silésie;NULL;L&L;Département de Langues et Lettres;LTC
2010-11-18;2010-11-25;;;Royaume-Uni (Ulster);Belfast;Queen's University (Belfast);NULL;L&L;Département de Langues et Lettres;LTC
2010-11-09;2010-11-09;;;France;Paris;Institut des sciences de la communication du CNRS;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-11-11;2010-11-13;;;Portugal;Lisbonne;Instituto Superior de Ciências Sociais e Políticas (ISCSP);NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-11-21;2010-11-28;;;Canada (Québec);Montréal;UQAM et université de montréal;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-17;2010-11-23;;;Etats-Unis;San Francisco;African Studies Association Congress (18-22 novembre 2010);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-24;2010-12-02;;;République Centrafricaine;Bangui;Radio France Internationale / Radio nationale de Centrafrique : Mission d'évaluation de la collaboration entre RFI et radio Bangui (financement Banque;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-22;2010-11-23;;;france;paris;EHESS Séminaire d'histoire culturelle de la danse;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-19;2010-11-20;;;France;Strasbourg;Université de Strasbourg;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-30;2010-12-02;;;France;Bordeaux;Institut Ausonius / Université Bordeaux III;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-01-11;2011-01-13;;;Royaume-Uni;Wolverhampton;University of Wolverhampton;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-12-11;2010-12-20;;;Chine;Pékin et Shanghai;Communication University of China (Pékin)Fudan University (Shanghai);NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2010-12-06;2010-12-07;;;France;Metz;Université de Metz, CREM, Observatoire du webjournalisme;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-11-21;2010-11-30;;;France;Nîmes;Université de Provence, Centre Camille JullianNîmes, Musée archéologique;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-12-07;2010-12-08;;;France;Paris;Agence Nationale de la Recherche;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-12-03;2010-12-07;;;Italie;Rome;HERITY International;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-02;2010-11-05;;;Italie;Rome;Academia Belgica de Roma;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-11-29;2010-12-04;;;Espagne;Madrid;Universidad Autónoma de Madrid;NULL;L&L;Département de Langues et Lettres;LTC
2011-02-01;2011-04-30;;;Suisse;Neuchâtel;Université de Neuchâtel - Centre de recherches smiologiques;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2010-12-01;2010-05-01;;;FRANCE;Paris;INALCO-PARIS;NULL;L&L;Département de Langues et Lettres;LTC
2011-01-13;2011-01-14;;;France;Paris;;NULL;L&L;Département de Langues et Lettres;LTC
2011-01-20;2011-01-20;;;France;Paris;;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-04;2010-12-08;;;Estonie;Tallinn;Tallinn Art Hall;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-10-19;2010-10-24;;;Etats-Unis;Pittsburgh;Dublin Core Metadata Initiative;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-12-10;2010-12-12;;;France;Paris;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-12-03;2010-12-04;;;France;Paris;Paris IV-Sorbonne;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-12;2010-12-20;;;Chine;Chongqing;Sichuan Fine Arts Institute;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2010-12-02;2010-12-03;;;france;paris;Centre National de la Danse;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-12-10;2010-12-10;;;Belgique;Gand;Université de Gand;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-06;2010-12-08;;;France;Nancy;Palais des Congrès de Nancy;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-05;2010-12-09;;;France;Nancy;Palais des Congrès de Nancy;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-15;2010-12-22;;;République tchèque;Prague / Brno;Institut d'Histoire contemporaine, Académie des sciencesBrno - Faculté de philosophie et lettres;NULL;L&L;Département de Langues et Lettres;LTC
2011-02-16;2011-02-19;;;Slovénie;Ljubljana;Université de Ljubljana;NULL;L&L;Département de Langues et Lettres;LTC
2010-12-15;2010-12-17;;;France; Rennes;Université de Haute-Bretagne (Rennes II);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-01-19;2011-01-23;;;Allemagne;Berlin;Institute for Museum Research;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-01-03;2011-01-11;;;france;paris;Ministère des Affaires étrangères, Archives Nationales, EHESS;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-02-13;2010-02-24;;;grande-bretagne;londres;royal opera house, Victoria and Albert museum archives, archives nationales, british library.;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-02-25;2010-02-27;;;france;paris;Centre National de la Danse;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-02-28;2010-03-09;;;grande-bretagne;londres;Victora and Albert Museum archives, national archives, british library;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-15;2011-03-23;;;grande-bretagne;londres;Victoria&Albert Museum Archives, National Archives, British Library;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-04-04;2011-04-20;;;grande-bretagne;londres;Victoria&Albert Museum Archives, National Archives, British Library;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2011-03-24;2011-03-25;;;france;paris;Centre National de la Danse;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2010-12-10;2010-12-11;;;France;Paris;-Paris I- Panthéon Sorbonne- Maison de l'Archéologie et de l'Ethnologie CNRS - UMR 8096 Archéologie des Amériques;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2011-01-13;2011-01-14;;;France;Paris;BNF;NULL;L&L;Département de Langues et Lettres;LTC
2011-01-20;2011-01-20;;;France;Paris;U. de Cergy-PontoiseC. Blanchaud;NULL;L&L;Département de Langues et Lettres;LTC
2011-01-11;2011-01-11;;;France;Paris;Editions du Seuil;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2011-01-14;2011-01-18;;;Italie;Rome;Université de Rome, de Salerne;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
