channel,battery_status,battery_status,battery_status,battery_status,battery_status,battery_voltage,battery_voltage,battery_voltage,battery_voltage,battery_voltage,node_humidity,node_humidity,node_humidity,node_humidity,node_humidity,node_temperature,node_temperature,node_temperature,node_temperature,node_temperature,sensor_code,sensor_code,sensor_code,sensor_code,sensor_code,sensor_temperature,sensor_temperature,sensor_temperature,sensor_temperature,sensor_temperature
device_name,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005,node-T001,node-T002,node-T003,node-T004,node-T005
timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-14 12:00:00,3.0,3.0,3.0,3.0,3.0,2.966666666666667,3.016666666666666,3.009,3.025,3.0,75.23333333333333,64.06666666666666,68.8,59.70000000000001,65.0,8.33,20.913333333333334,19.856666666666666,23.00666666666667,20.819999999999997,1.0,1.0,1.0,1.0,1.0,7.6433333333333335,24.703333333333333,24.560000000000002,19.389999999999997,25.64
2019-11-14 12:15:00,3.0,3.0,3.0,3.0,3.0,2.965666666666667,3.016666666666667,3.009,3.023,3.001,73.46666666666665,64.43333333333334,68.66666666666667,59.93333333333334,65.23333333333333,8.556666666666667,20.68,19.74,22.776666666666667,20.65666666666667,1.0,1.0,1.0,1.0,1.0,7.75,23.89,23.91333333333333,19.30666666666667,24.87
2019-11-14 12:30:00,3.0,3.0,3.0,3.0,3.0,2.9665,3.0159999999999996,3.0076666666666667,3.023,3.0004999999999997,72.65,64.86666666666667,68.63333333333334,59.6,65.45,8.440000000000001,20.466666666666665,19.64,22.593333333333334,20.47,1.0,1.0,1.0,1.0,1.0,7.529999999999999,23.159999999999997,23.58,19.266666666666666,24.245
2019-11-14 12:45:00,3.0,3.0,3.0,3.0,3.0,2.9659999999999997,3.015333333333333,3.009,3.0236666666666667,3.0,73.16666666666667,65.3,69.03333333333335,59.26666666666667,66.03333333333335,8.42,20.233333333333334,19.493333333333332,22.47,20.21,1.0,1.0,1.0,1.0,1.0,7.453333333333333,22.560000000000002,22.996666666666666,19.266666666666666,23.560000000000002
2019-11-14 13:00:00,3.0,3.0,3.0,3.0,3.0,2.9663333333333335,3.014666666666667,3.007,3.023,3.001,73.26666666666667,65.76666666666667,69.30000000000001,59.03333333333334,66.46666666666667,8.463333333333333,20.03,19.36666666666667,22.383333333333336,20.0,1.0,1.0,1.0,1.0,1.0,7.473333333333333,22.036666666666665,22.453333333333333,19.37,23.016666666666666
2019-11-14 13:15:00,3.0,3.0,3.0,3.0,3.0,2.967,3.015333333333333,3.009,3.0243333333333333,3.000666666666666,72.93333333333334,66.13333333333333,69.4,59.03333333333333,66.86666666666667,8.616666666666667,19.936666666666667,19.296666666666667,22.299999999999997,19.86,1.0,1.0,1.0,1.0,1.0,7.683333333333334,21.703333333333333,22.016666666666666,19.166666666666668,22.536666666666665
2019-11-14 13:30:00,3.0,3.0,3.0,3.0,3.0,2.967,3.016,3.009,3.023,3.001,73.03333333333333,66.36666666666666,69.93333333333332,59.26666666666667,67.16666666666667,8.466666666666667,19.753333333333334,19.07,22.22666666666667,19.666666666666668,1.0,1.0,1.0,1.0,1.0,7.539999999999999,21.453333333333333,21.536666666666665,19.099999999999998,22.05666666666666
2019-11-14 13:45:00,3.0,3.0,3.0,3.0,3.0,2.9659999999999997,3.016666666666667,3.0083333333333333,3.023,3.0,73.10000000000001,66.60000000000001,70.39999999999999,59.53333333333333,67.46666666666667,8.573333333333332,19.549999999999997,18.873333333333335,22.16,19.49,1.0,1.0,1.0,1.0,1.0,7.516666666666666,21.203333333333333,21.246666666666666,19.26666666666667,21.66333333333333
2019-11-14 14:00:00,3.0,3.0,3.0,3.0,3.0,2.967,3.0146666666666664,3.009,3.023,3.0003333333333333,72.36666666666667,66.96666666666667,70.56666666666666,59.46666666666667,67.7,8.453333333333333,19.383333333333333,18.69,22.103333333333335,19.33,1.0,1.0,1.0,1.0,1.0,7.390000000000001,20.953333333333333,20.953333333333333,19.183333333333334,21.33
2019-11-14 14:15:00,3.0,3.0,3.0,3.0,3.0,2.967,3.014,3.0083333333333333,3.023,3.0003333333333333,72.93333333333334,67.33333333333333,70.8,58.199999999999996,68.03333333333335,8.446666666666665,19.223333333333333,18.546666666666667,22.006666666666664,19.15666666666667,1.0,1.0,1.0,1.0,1.0,7.3066666666666675,20.746666666666666,20.66333333333333,18.746666666666666,20.99666666666667
2019-11-14 14:30:00,3.0,3.0,3.0,3.0,3.0,2.967,3.014,3.009,3.023,3.000666666666666,73.8,67.66666666666667,71.05,59.43333333333334,68.46666666666667,8.303333333333335,19.083333333333332,18.43,21.929999999999996,19.0,1.0,1.0,1.0,1.0,1.0,7.203333333333333,20.58,20.525,19.286666666666665,20.703333333333333
2019-11-14 14:45:00,3.0,3.0,3.0,3.0,3.0,2.967,3.014,3.0083333333333333,3.023,2.999333333333334,73.73333333333333,67.89999999999999,71.26666666666667,59.166666666666664,68.63333333333333,8.21,18.94666666666667,18.253333333333334,21.883333333333336,18.849999999999998,1.0,1.0,1.0,1.0,1.0,7.12,20.433333333333334,20.246666666666666,19.203333333333333,20.433333333333334
2019-11-14 15:00:00,3.0,3.0,3.0,3.0,3.0,2.967,3.0149999999999997,3.0076666666666667,3.023,3.0,73.36666666666666,68.15,71.43333333333334,58.96666666666667,68.83333333333334,8.246666666666668,18.85,18.143333333333334,21.836666666666662,18.69333333333333,1.0,1.0,1.0,1.0,1.0,7.1000000000000005,20.28,20.099999999999998,19.349999999999998,20.203333333333333
2019-11-14 15:15:00,3.0,3.0,3.0,3.0,3.0,2.967,3.015333333333333,3.009,3.0223333333333335,2.9996666666666663,73.63333333333333,68.33333333333333,71.63333333333333,58.03333333333333,69.2,8.203333333333333,18.7,18.03,21.77,18.546666666666667,1.0,1.0,1.0,1.0,1.0,7.039999999999999,20.12,19.953333333333333,19.43,19.996666666666666
2019-11-14 15:30:00,3.0,3.0,3.0,3.0,3.0,2.9659999999999997,3.014,3.0063333333333335,3.0223333333333335,3.0,73.76666666666667,68.60000000000001,72.03333333333335,58.93333333333334,69.63333333333333,8.19,18.58666666666667,17.896666666666665,21.703333333333333,18.416666666666668,1.0,1.0,1.0,1.0,1.0,7.0,19.953333333333333,19.81,19.22666666666667,19.81
2019-11-14 15:45:00,3.0,3.0,3.0,3.0,3.0,2.967,3.014,3.0076666666666667,3.023,2.999333333333334,73.96666666666665,68.89999999999999,72.33333333333333,58.93333333333334,69.83333333333333,8.146666666666667,18.470000000000002,17.776666666666667,21.653333333333336,18.286666666666665,1.0,1.0,1.0,1.0,1.0,6.91,19.83,19.66333333333333,19.310000000000002,19.62
2019-11-14 16:00:00,3.0,3.0,3.0,3.0,3.0,2.967333333333334,3.012,3.0076666666666667,3.023,2.9979999999999998,73.86666666666667,69.10000000000001,72.60000000000001,59.03333333333333,70.23333333333333,8.15,18.363333333333333,17.673333333333336,21.599999999999998,18.17,1.0,1.0,1.0,1.0,1.0,6.8500000000000005,19.703333333333333,19.51666666666667,19.203333333333333,19.453333333333333
2019-11-14 16:15:00,3.0,3.0,3.0,3.0,3.0,2.967,3.0126666666666666,3.0083333333333333,3.0223333333333335,3.0,73.8,69.33333333333333,72.8,59.03333333333333,70.53333333333333,8.216666666666667,18.273333333333333,17.573333333333334,21.56,18.043333333333337,1.0,1.0,1.0,1.0,1.0,6.8500000000000005,19.58,19.39,19.393333333333334,19.31
2019-11-14 16:30:00,3.0,3.0,3.0,3.0,3.0,2.967,3.0126666666666666,3.007,3.0216666666666665,2.999333333333334,74.03333333333333,69.4,72.83333333333333,58.833333333333336,70.73333333333333,8.226666666666667,18.183333333333334,17.513333333333335,21.523333333333337,17.94333333333333,1.0,1.0,1.0,1.0,1.0,6.829999999999999,19.476666666666667,19.27,19.496666666666666,19.12
2019-11-14 16:45:00,3.0,3.0,3.0,3.0,3.0,2.966666666666667,3.012,3.007,3.0209999999999995,2.9979999999999998,73.93333333333332,69.46666666666667,72.96666666666665,58.73333333333333,71.0,8.219999999999999,18.113333333333333,17.459999999999997,21.503333333333334,17.85666666666667,1.0,1.0,1.0,1.0,1.0,6.789999999999999,19.37,19.14,19.830000000000002,19.06
2019-11-14 17:00:00,3.0,3.0,3.0,3.0,3.0,2.966666666666667,3.013333333333333,3.0076666666666667,3.0203333333333333,2.9979999999999998,74.3,69.63333333333333,73.0,58.699999999999996,71.43333333333332,8.24,18.043333333333333,17.400000000000002,21.453333333333333,17.776666666666667,1.0,1.0,1.0,1.0,1.0,6.77,19.29,19.04,19.766666666666666,18.976666666666667
2019-11-14 17:15:00,3.0,3.0,3.0,3.0,3.0,2.966666666666667,3.011333333333333,3.007,3.0223333333333335,2.998666666666667,73.8,69.83333333333333,73.13333333333333,57.9,71.83333333333333,8.196666666666667,17.98,17.33,21.429999999999996,17.69666666666667,1.0,1.0,1.0,1.0,1.0,6.66,19.266666666666666,19.286666666666665,19.25,18.81
2019-11-14 17:30:00,3.0,3.0,3.0,3.0,3.0,2.966666666666667,3.012,3.0056666666666665,3.0209999999999995,2.998666666666667,74.73333333333333,70.10000000000001,73.33333333333333,56.93333333333334,71.96666666666667,8.026666666666667,18.106666666666666,17.333333333333332,22.23,17.653333333333332,1.0,1.0,1.0,1.0,1.0,6.6000000000000005,32.43333333333333,32.26666666666667,18.91333333333333,31.389999999999997
2019-11-14 17:45:00,3.0,3.0,3.0,3.0,3.0,2.965666666666667,3.013333333333333,3.0063333333333335,3.0223333333333335,2.998666666666667,75.4,68.96666666666667,73.06666666666668,53.06666666666666,71.86666666666666,7.933333333333334,18.666666666666668,17.51,23.97666666666667,17.756666666666664,1.0,1.0,1.0,1.0,1.0,6.5,42.57666666666666,40.97333333333333,18.683333333333334,41.24666666666667
2019-11-14 18:00:00,3.0,3.0,3.0,3.0,3.0,2.967,3.012,3.0056666666666665,3.0209999999999995,2.9973333333333336,76.0,67.16666666666667,72.26666666666667,49.06666666666666,71.66666666666667,7.890000000000001,19.333333333333332,17.87666666666667,25.75666666666667,17.966666666666665,1.0,1.0,1.0,1.0,1.0,6.453333333333333,49.68333333333334,48.99333333333333,18.41,47.87
2019-11-14 18:15:00,3.0,3.0,3.0,3.0,3.0,2.966666666666667,3.0113333333333334,3.0056666666666665,3.023,2.9979999999999998,76.4,65.26666666666667,71.13333333333333,46.26666666666667,71.23333333333333,7.803333333333332,20.043333333333333,18.316666666666666,27.16333333333333,18.226666666666667,1.0,1.0,1.0,1.0,1.0,6.390000000000001,52.18333333333334,51.01333333333333,18.810000000000002,49.14333333333334
2019-11-14 18:30:00,3.0,3.0,3.0,3.0,3.0,2.967,3.012,3.0056666666666665,3.0236666666666667,2.9979999999999998,76.86666666666666,63.63333333333333,70.3,45.5,70.5,7.743333333333332,20.65,18.680000000000003,27.8,18.536666666666665,1.0,1.0,1.0,1.0,1.0,6.37,52.43333333333334,51.72666666666667,18.766666666666666,46.18333333333334
